Title,Genre,Year,Rating
Iron Man 2,"['Action', 'Adventure', 'Sci-Fi']",2010,6.9
Constantine,"['Action', 'Fantasy', 'Horror']",2005,7
Pacific Rim,"['Action', 'Adventure', 'Sci-Fi']",2013,6.9
Incredibles 2,"['Animation', 'Action', 'Adventure']",2018,7.6
Ant-Man,"['Action', 'Adventure', 'Comedy']",2015,7.3
G.I. Joe: The Rise of Cobra,"['Action', 'Adventure', 'Sci-Fi']",2009,5.7
Big Hero 6,"['Animation', 'Action', 'Adventure']",2014,7.8
Man on Fire,"['Action', 'Crime', 'Drama']",2004,7.7
Terminator: Dark Fate,"['Action', 'Adventure', 'Sci-Fi']",2019,6.2
X-Men: Days of Future Past,"['Action', 'Adventure', 'Sci-Fi']",2014,7.9
Tag,"['Action', 'Comedy']",2018,6.5
Tag,"['Action', 'Drama', 'Fantasy']",2018,6.1
Robin Hood,"['Action', 'Adventure', 'Drama']",2010,6.6
Central Intelligence,"['Action', 'Comedy', 'Crime']",2016,6.3
Death Proof,"['Action', 'Thriller']",2007,7
Shooter,"['Action', 'Drama', 'Thriller']",2007,7.2
Never Back Down,"['Action', 'Drama', 'Sport']",2008,6.5
Angel Has Fallen,"['Action', 'Thriller']",2019,6.4
